,index,Primary Activity,KL,Pct
0,11,Snowmobiler,116,41.577060931899645
1,0,Backcountry Tourer,65,23.29749103942652
2,9,Sidecountry Rider,29,10.394265232974911
3,1,Climber,22,7.885304659498208
4,3,Hiker,22,7.885304659498208
5,6,Inbounds Rider,14,5.017921146953405
6,8,Resident,6,2.150537634408602
7,2,Highway Personnel,1,0.35842293906810035
8,4,Hunter,1,0.35842293906810035
9,5,Hybrid Rider,1,0.35842293906810035
10,7,Others at Work,1,0.35842293906810035
11,10,Ski Patroller,1,0.35842293906810035
