"Region","2.5%","50%","97.5%","Mean","Cases","Deaths"
"Worldwide",0.0595744491721417,1.51071128154363,8.22213816277702,2.20823782059516,6227554,146221
"Afghanistan",9.88128697920288,10.7136778338564,11.5978630954564,10.7210007248624,4851,524
"Albania",2.78334447056214,3.4552566079321,4.21870790685862,3.4702362554589,2462,86
"Algeria",1.57497775080829,1.77974641852395,2.00727715706097,1.78151165217445,14708,262
"Andorra",0.0306899179844189,0.719312309295014,3.82135120409319,1.03261503730925,52,0
"Angola",3.21696453908506,4.57692380469189,6.18422434477842,4.60572864229968,716,34
"Antigua and Barbuda",0.0426546312921786,1.06084432034888,5.82322624557152,1.53163854718491,17,0
"Argentina",1.64272769051339,1.72042777469509,1.80208828485788,1.72086667804517,108825,1872
"Armenia",2.02660600532071,2.27938786594675,2.5615441538617,2.28363484790768,12087,276
"Australia",0.740923397199037,0.942018372607091,1.16896128758965,0.945224420780361,7662,72
"Austria",0.141633635974498,0.292046059787187,0.536961208919491,0.304105366297254,2911,8
"Azerbaijan",1.42189389514922,1.62893560156081,1.85376086836414,1.63154413650605,13334,217
"Bahamas",0.0158969702790886,0.173415716812987,0.965947092254932,0.254489390271452,343,0
"Bahrain",0.315181456024319,0.4134777015753,0.531227854091008,0.415980473124474,13163,54
"Bangladesh",1.29930187849623,1.37752821018424,1.45934051899911,1.37788378853851,83702,1153
"Barbados",0.0468170726214339,1.13898484468186,5.9375529130215,1.61367593879256,13,0
"Belarus",2.44637732705249,2.86546732884063,3.33851451867385,2.87086525119533,5248,151
"Belgium",1.31848726662077,1.63838714586271,2.0068318767929,1.64357724121633,5235,86
"Belize",0.0383138102307898,0.954246251824984,5.00236238439029,1.37219803785388,24,0
"Benin",1.38071769665833,2.36463052708768,3.73344758590982,2.41479956108466,571,14
"Bhutan",0.0429092092436663,1.03725402532339,5.81365044824854,1.52461867977449,22,0
"Bolivia",3.88879726252021,4.08284183916896,4.28281184942366,4.08205766645297,39108,1597
"Bosnia and Herzegovina",1.44990695872527,1.7534812053669,2.09836224763408,1.75876111968869,6313,111
"Botswana",0.0429148375119297,0.296830112211192,1.04911654083561,0.358831942218412,512,1
"Brazil",2.64692509160344,2.6770951499892,2.70671636930166,2.67701486818607,1081150,28945
"Bulgaria",1.77127531300961,2.1202958447941,2.51874401692643,2.12503495272872,5882,125
"Burkina Faso",0.0216676725551506,0.356574803716609,1.82956731936805,0.505969898330717,143,0
"Burma",0.0308285243875525,0.699157864736821,3.69484668059552,1.01241021643198,52,0
"Burundi",0.0180884562846545,0.266341199961068,1.4316416921722,0.389227539210423,208,0
"Cabo Verde",0.297474994403266,0.654202803782724,1.23141325047451,0.683578847851917,1127,7
"Cambodia",0.0268409564957264,0.521805275774823,2.80623070169274,0.752118903807402,85,0
"Cameroon",1.35105092848904,1.69945638004122,2.11055126243423,1.70629988799839,4587,78
"Canada",2.5398110772177,2.8433417093024,3.15957462054151,2.84541250003923,10774,307
"Central African Republic",0.782696282559506,1.40614720143256,2.30933932875972,1.44140176660446,854,12
"Chad",0.213948026479488,1.57222887578601,5.1477121577383,1.85147966238166,60,1
"Chile",4.88109765659402,5.04368395682251,5.2072924465941,5.0438605626433,70407,3552
"China",0.436742354555968,0.73764178182892,1.14198404471227,0.748883118732295,2205,16
"Colombia",3.22927389176875,3.31003792540677,3.39230817194721,3.31008364868483,172116,5698
"Comoros",0.0327507552180188,0.681417471878876,3.63700760216642,0.981033620079412,51,0
"Congo (Brazzaville)",0.499248974971348,0.815704731169737,1.25890621535835,0.832655170322139,2113,17
"Congo (Kinshasa)",1.49245162804162,2.06185684579131,2.76798424641917,2.07926148549738,1834,38
"Costa Rica",0.699720791932619,0.849304405892094,1.01456545489593,0.851600288276748,12885,109
"Cote d'Ivoire",0.335323112994442,0.490388889426764,0.684331627914495,0.495741686777098,6214,30
"Croatia",1.08318199747447,1.53096407410742,2.10411308353964,1.5460449043851,2146,33
"Cuba",0.0913087442033397,0.639587709572946,2.1315869920866,0.756537121741533,214,1
"Cyprus",0.0295835110106916,0.560982057741501,2.90551048551367,0.807869390412059,69,0
"Czechia",0.435063393468978,0.656813658976079,0.94848008583192,0.664916467047871,3845,25
